,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.8908726073037851,0.5708088180946497,0.7485385011279172,0.3460334348078752,0.3485105593461394,-132.20239253293732
0,1.5758378787216134,0.5,0.7535676481670353,0.34371622887018155,0.4005234964035525,41.026265898177755
0,1.9097509204949108,0.5662247687763686,0.7720631491904978,0.2650096046011832,0.2916485290349692,-145.32652531235158
0,0.7677710299810753,0.5073010655046082,0.6428357828955938,0.2643022598660639,0.3219300951111912,211.3006966758829
0,2.425797336090208,0.5817291360288058,0.8950710246766767,0.22606965913556698,0.30171346954157885,-298.23090634726884
0,1.2012920569597072,0.556492263848808,0.630468311007549,0.25189734444100637,0.3408917929187526,81.44684007341975
0,1.6611024128096354,0.5913641220197015,0.6898871628179476,0.2446628351272392,0.25978673686668385,-53.402691992625904
0,1.536512670463074,0.6891011977166733,1.1066285321897922,0.2049947306035953,0.2701819601596277,244.64058653202508
0,1.50288987169308,0.5965910892778293,0.8440549990090551,0.22617464489773198,0.31897533369298436,113.3427161607628
0,1.0465782178590033,0.5,0.9451460841760799,0.19762660868949894,0.21749253585923906,246.43640634643089
0,1.2343027620262097,0.5727220977023687,0.6353639702590941,0.22557946707583137,0.25235314302249556,96.35913751092902
0,1.0418583515151387,0.5624949187400639,0.9289446688632316,0.22798161422058544,0.4716051933065551,358.75295251722054
0,1.2941823546536888,0.5939215866795038,0.6807369130996503,0.21425293942988388,0.32339856092387387,142.21137592031
0,1.6022991766554326,0.6113493215708407,0.7819205022769262,0.3266597974025125,0.5322007653325679,48.36990761226757
0,1.7269098908330096,0.7745849477677643,0.7196580355523018,0.18922520749511346,0.2910356826408627,30.03801178948699
0,2.1694175816884065,0.6436335508902321,0.6605584267189784,0.2900239833957314,0.3742095743651766,-241.74936472053471
0,2.1925913053376744,0.5,0.6796041977401487,0.29343644123869217,0.3467103103024647,-337.4984239992784
0,0.6653086449660104,0.5,0.8676872776828519,0.3769176261161583,0.4239882771650511,499.11649915620677
0,2.013162840825633,0.590587670821121,0.7742230258161433,0.24679552655512849,0.3706189151631304,-176.89836676455658
0,1.4652094269215334,0.6456161868998769,0.8567082894788438,0.24469364752898498,0.32454220085867447,183.89790593861497
