,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,0.12789835996400223,0.20650597974772866,1.3399369543678583,7.971633253411229,0.8137661660363382,0.9010235621931948,898.6913973280123
0,0.2823307099673954,0.2762699996267698,3.811494513462912,7.7122781899553345,0.7901879496856234,0.4139915259486718,996.6277162640808
0,0.008696731698985482,-1.6646260952042506,0.7452318340284587,0.827239387092642,0.1036089267086367,0.44495455193379996,468.6964533613239
0,0.09121660682772473,0.47310359970905996,1.678755078250361,3.1766226530765733,0.10932710499713177,0.21657139990952723,829.5281014219712
0,0.14876665997158733,0.06009169120155465,2.910064318986846,3.45116476893486,0.6691386201245775,0.9084164746810491,1160.5217843202834
0,0.16310410009287493,0.1979873492938364,1.1198416355223402,7.891869231416223,0.7930990737546374,0.9117322647235511,826.1930709704861
0,0.24528405467186848,0.6066965923177928,0.8022265306371343,3.230966607562832,0.3788425297680197,0.6486504245227721,575.7564120036293
0,0.29596218368158167,0.7377396219369853,0.8207619442759122,3.7287507280747496,0.6819068518337925,0.14742337492584545,540.5073714533164
0,0.010035342583620686,-8.640546230044611,0.5083810975869358,0.6182153807137305,0.19769792950615084,0.16306030305521496,597.5691877854488
0,0.06907810430719138,-0.4907735381289985,1.4011212596593312,1.484056836400772,0.10456210544177358,0.11305544829712882,928.1357872512082
0,0.27506626609869955,0.21091288618563347,1.0589069280799879,6.665037441272169,0.9962330314055146,0.5604993023141088,782.1736765854093
0,0.07989270500677147,0.10578111770612378,0.7499601797469513,7.939332307483956,0.38539470822955657,0.9642965881270786,734.595653154269
0,0.3003033592194753,0.5998082260471449,1.1522861253827767,4.42976469433504,0.7668711543289067,0.24366050885218732,665.7433741426673
0,0.2097084790792412,0.11578550948830715,1.6678896315132699,4.478352127543126,0.824259654710694,0.6770234412192752,951.4384644381495
0,0.17070454340205551,0.13739776865727785,1.2575278810324426,3.5616357473814393,0.12719290227810737,0.6833572487115529,896.3778499758139
0,0.09951561024974068,0.13621321694162528,0.9969420911895162,7.520591733994686,0.7408589871735057,0.8412006862521777,872.4531136683044
0,0.2557135344335439,0.7824376077655887,2.0236676834118668,4.760171830110628,0.10604503199790227,0.3165884464544281,719.1749506179631
0,0.16515082511686946,0.0499958479349101,0.9206197179723552,1.9534146155439998,0.21589576011196732,0.1338092670379974,696.2786110175128
0,0.1602988385628381,0.41837489793181126,1.7720379039902268,2.998609659404284,0.7867096817691441,0.5679227912655638,823.9690882903535
0,0.2402991837046275,0.10521025687243268,1.2767675337325373,7.9087084244467585,0.6607598730777736,0.8335416146898464,891.5121061695046
0,0.1965375140146324,0.9658367994901971,3.0683606451604017,2.7963466042632614,0.10857690104192935,0.529371416174056,688.0790353310033
0,0.013391819246363887,1.8215622973064185,1.9195995459820652,2.9393667043257867,0.13710774593424407,0.17872457040847461,492.025702135778
0,0.17775835131573559,0.2973175134773827,0.8136990851655992,3.889612925495774,0.30551481172878286,0.16860595558481195,677.737278516769
0,0.1897261134819654,0.25925523078810997,4.72265823144916,6.832285526979341,0.528266673456897,0.1454029344405124,1056.708754333015
0,0.1712787483796696,2.085520637635111,0.7359132340988728,2.1136426352380426,0.3896738705943562,0.4094878569587923,320.9348875689604
0,0.331170833675459,-9.696918131237396,0.5004520804625221,0.7324740594021186,0.48949567242047165,0.10316542122549471,821.7798592030742
0,0.19064010281117966,0.24181315109613613,1.5279100850647112,4.439267013746718,0.46833749164583677,0.8587995077548896,883.3807969596531
0,0.29469889715836955,-3.13919492805287,0.8853064058180817,1.1549516498179866,0.10512856948333638,0.8963453690321985,1037.8868341398884
0,0.11002811768423945,0.11072830953256108,2.1362389370978994,6.175321829288696,0.991723171852817,0.6053493584028519,1101.319642863297
0,0.18791621396280087,0.4350662362814994,7.899589693071178,7.109012298061243,0.9111857550497076,0.7989222912917328,892.4513676209214
0,0.29721087402363733,0.5170002288895968,0.7816173528009891,4.743321763215819,0.1128103704722263,0.12308159312809797,597.8999133784287
0,0.242276209037043,-3.0063749359339482,0.869315026093505,1.1509748158074338,0.10332772947519847,0.3999527436663345,998.6057411907221
0,0.3740775938198676,-0.058489846592295947,0.6146541579121849,1.6690614259117513,0.11609571109379169,0.5314322107232867,520.5778375789613
0,0.10009846019410727,0.8443630136865459,1.4892781512624205,5.717888645418265,0.1036684865687747,0.3313101569264463,678.2310609845151
0,0.2981658338878624,0.18689633083833182,1.6260907306062977,6.708383178583519,0.7411068965287525,0.13211781288471675,896.373197520583
0,0.2797129901813318,0.03935576107488569,2.5054807433796715,3.664591754410578,0.2702794704823815,0.5066041443527423,1072.51715377942
0,0.12093807365561081,0.899605999789589,5.784839384075353,5.77232127009511,0.10573188301469127,0.48764900222206115,711.9758125695291
0,0.3304907393196711,-5.17992399849536,0.7718619038938068,0.9731008073149483,0.10608159984511972,0.8268452411768027,1014.7257859472872
