,Drift Rate,Boundary Separation,Non-decision Time,Self-excitation
0,-0.24424310345653133,-0.2445205206742369,-0.011610047101643373,-1.497150192606692
1,0.03429762493111488,0.2822935098183712,-0.0063897213653258955,2.871713084282763
2,0.31770920176713213,-0.6804829402902176,0.03146582834302791,4.079426870175944
3,0.4162979278756129,-1.167829288996465,-0.028392606193975045,4.7044663437080185
4,-1.3222774797923036,2.099266283385896,-0.21115015057726194,5.680699313248098
5,-0.4987169337933539,0.32032567579803284,-0.0955989174941633,4.25051318026742
6,-1.0192975821542758,0.4354363813084161,-0.10174471445961558,6.902959312526392
7,0.6533493887086164,-0.9998347224343276,0.06606994766336932,4.234940594995578
8,-0.7543635458739422,0.6138378651225396,-0.0780131840943909,2.4816500322418578
9,-0.699683902995297,-0.2836879150295426,-0.03064111676674308,4.62267411576173
10,-0.06959517396905923,4.020649454456981,-0.1391770183161605,6.2762538016403315
11,-0.09423707467567932,0.20937841449900052,-0.06014964122772504,4.851176936278695
12,0.06138933706858296,0.671289037849933,-0.025886714674855316,8.598300816399828
13,-0.2153884848105594,2.5525075388130443,-0.14518125318127084,8.943535684137508
14,-0.9293998628875664,1.0770407774180208,-0.2149667726630843,4.65614814823754
15,-0.06350790422898145,1.4532876160787815,-0.10100469166012216,3.9259444752763
